,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(13,)",[0.74889291 0.80122786 0.60899758],0.7197061191626409,"('Idade',)",0.18260533129773124,0.08114604656615468,0.05737891979340734
2,"(13, 24)",[0.78442029 0.79428341 0.6986715 ],0.7591250670960816,"('Idade', 'pO2')",0.09662094010451563,0.04293635486580167,0.030360587685040376
3,"(13, 20, 24)",[0.79488728 0.81622383 0.72020934],0.7771068169618894,"('Idade', 'PCR', 'pO2')",0.09263423385490942,0.0411647447562991,0.02910787016299247
4,"(13, 20, 24, 36)",[0.81904187 0.82125604 0.72745572],0.7892512077294686,"('Idade', 'PCR', 'pO2', 'Outros Med_Presente')",0.0983514539619466,0.0437053595660506,0.030904356123350723
5,"(5, 13, 20, 24, 36)",[0.79991948 0.84500805 0.74718196],0.7973698336017178,"('GrupoDiagn_Gastrointestinal', 'Idade', 'PCR', 'pO2', 'Outros Med_Presente')",0.08996367923253033,0.0399780053100575,0.028268718653053467
6,"(4, 5, 13, 20, 24, 36)",[0.76952496 0.87198068 0.77797907],0.8064949006977992,"('GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'Idade', 'PCR', 'pO2', 'Outros Med_Presente')",0.10449152794093045,0.046433881923406584,0.03283371278485625
7,"(4, 5, 6, 13, 20, 24, 36)",[0.76529791 0.88627214 0.80193237],0.8178341384863125,"('GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'Idade', 'PCR', 'pO2', 'Outros Med_Presente')",0.11398225356169948,0.05065136482873232,0.035815923546750415
8,"(4, 5, 6, 11, 13, 20, 24, 36)",[0.7757649  0.89472625 0.81380837],0.8280998389694041,"('GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Respiratorio', 'Idade', 'PCR', 'pO2', 'Outros Med_Presente')",0.11162987603681111,0.04960601672843761,0.035076750816331555
9,"(4, 5, 6, 8, 11, 13, 20, 24, 36)",[0.77657005 0.90740741 0.840781  ],0.84158615136876,"('GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Respiratorio', 'Idade', 'PCR', 'pO2', 'Outros Med_Presente')",0.12020620875610831,0.05341716226981411,0.03777163767272775
10,"(4, 5, 6, 8, 9, 11, 13, 20, 24, 36)",[0.76811594 0.91384863 0.85688406],0.8462828770799785,"('GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Respiratorio', 'Idade', 'PCR', 'pO2', 'Outros Med_Presente')",0.13494214004124805,0.05996550649263397,0.04240201627822743
11,"(4, 5, 6, 7, 8, 9, 11, 13, 20, 24, 36)",[0.77858293 0.91586151 0.86553945],0.8533279656468062,"('GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Respiratorio', 'Idade', 'PCR', 'pO2', 'Outros Med_Presente')",0.1276050205111952,0.056705041758029,0.04009651955456865
12,"(4, 5, 6, 7, 8, 9, 10, 11, 13, 20, 24, 36)",[0.77214171 0.93337359 0.86654589],0.8573537305421363,"('GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Idade', 'PCR', 'pO2', 'Outros Med_Presente')",0.14884305120358463,0.06614278497883422,0.04677001178509739
13,"(2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 20, 24, 36)",[0.77858293 0.92995169 0.86936393],0.8592995169082126,"('Intra-Hospitalar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Idade', 'PCR', 'pO2', 'Outros Med_Presente')",0.1399805519270381,0.06220447291600294,0.04398520461904061
14,"(2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 18, 20, 24, 36)",[0.78341385 0.93216586 0.86936393],0.8616478797638217,"('Intra-Hospitalar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Idade', 'Ureia', 'PCR', 'pO2', 'Outros Med_Presente')",0.13720789662675623,0.06097236203233038,0.043113970658022
15,"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 18, 20, 24, 36)",[0.78442029 0.93196457 0.8715781 ],0.8626543209876544,"('Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Idade', 'Ureia', 'PCR', 'pO2', 'Outros Med_Presente')",0.13628965500429852,0.060564314376079606,0.042825437393239796
16,"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 18, 20, 24, 32, 36)",[0.7791868  0.93760064 0.87439614],0.8637278582930756,"('Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Idade', 'Ureia', 'PCR', 'pO2', 'Analgesicos', 'Outros Med_Presente')",0.14652041728391618,0.06511065432381928,0.04604018519986582
17,"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 18, 20, 24, 25, 32, 36)",[0.77999195 0.93860709 0.875     ],0.8645330112721418,"('Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Idade', 'Ureia', 'PCR', 'pO2', 'HCO3', 'Analgesicos', 'Outros Med_Presente')",0.14666737838807328,0.06517596081030899,0.046086363859318163
18,"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 18, 20, 23, 24, 25, 32, 36)",[0.78140097 0.9384058  0.87600644],0.8652710681696189,"('Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Idade', 'Ureia', 'PCR', 'pCO2', 'pO2', 'HCO3', 'Analgesicos', 'Outros Med_Presente')",0.14524727482424238,0.06454489604839635,0.04564013368680185
19,"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 18, 20, 23, 24, 25, 32, 36)",[0.78301127 0.93739936 0.87761675],0.8660091250670959,"('Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Idade', 'SIRS', 'Ureia', 'PCR', 'pCO2', 'pO2', 'HCO3', 'Analgesicos', 'Outros Med_Presente')",0.14303285051973288,0.0635608515166517,0.04494430912541567
20,"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 18, 20, 23, 24, 25, 27, 32, 36)",[0.78522544 0.93357488 0.87922705],0.8660091250670962,"('Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Idade', 'SIRS', 'Ureia', 'PCR', 'pCO2', 'pO2', 'HCO3', 'Antidislipidemicos', 'Analgesicos', 'Outros Med_Presente')",0.13790099660433744,0.0612803613807399,0.04333175908588341
21,"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 18, 20, 23, 24, 25, 27, 28, 32, 36)",[0.79488728 0.93860709 0.86413043],0.8658749329039185,"('Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Idade', 'SIRS', 'Ureia', 'PCR', 'pCO2', 'pO2', 'HCO3', 'Antidislipidemicos', 'Antipsicoticos', 'Analgesicos', 'Outros Med_Presente')",0.13206357386853237,0.05868633099959158,0.04149750261276951
22,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 18, 20, 23, 24, 25, 27, 28, 32, 36)",[0.78582931 0.94202899 0.87057166],0.8661433172302738,"('Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Idade', 'SIRS', 'Ureia', 'PCR', 'pCO2', 'pO2', 'HCO3', 'Antidislipidemicos', 'Antipsicoticos', 'Analgesicos', 'Outros Med_Presente')",0.1436724716424857,0.06384508596393061,0.04514529323053341
23,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 18, 20, 23, 24, 25, 27, 28, 32, 36)",[0.79045894 0.94303543 0.87520129],0.8695652173913043,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Idade', 'SIRS', 'Ureia', 'PCR', 'pCO2', 'pO2', 'HCO3', 'Antidislipidemicos', 'Antipsicoticos', 'Analgesicos', 'Outros Med_Presente')",0.14045757516667157,0.06241645221442398,0.0441350966184253
24,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 18, 20, 23, 24, 25, 27, 28, 32, 36)",[0.79045894 0.94263285 0.87479871],0.869296833064949,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Idade', 'SIRS', 'Sodio', 'Ureia', 'PCR', 'pCO2', 'pO2', 'HCO3', 'Antidislipidemicos', 'Antipsicoticos', 'Analgesicos', 'Outros Med_Presente')",0.14007497982545916,0.062246434728333196,0.04401487610109022
25,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 20, 23, 24, 25, 27, 28, 32, 36)",[0.79025765 0.94243156 0.87439614],0.8690284487385936,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Idade', 'SIRS', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pCO2', 'pO2', 'HCO3', 'Antidislipidemicos', 'Antipsicoticos', 'Analgesicos', 'Outros Med_Presente')",0.14006179630557627,0.062240576243749415,0.04401073352691355
26,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 20, 21, 23, 24, 25, 27, 28, 32, 36)",[0.78844605 0.94223027 0.87439614],0.8683574879227053,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Idade', 'SIRS', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'pCO2', 'pO2', 'HCO3', 'Antidislipidemicos', 'Antipsicoticos', 'Analgesicos', 'Outros Med_Presente')",0.14160688656911222,0.06292718251960551,0.04449623748057663
27,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 27, 28, 32, 36)",[0.78884863 0.943438   0.87198068],0.8680891035963499,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Idade', 'Interna_Dias', 'SIRS', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'pCO2', 'pO2', 'HCO3', 'Antidislipidemicos', 'Antipsicoticos', 'Analgesicos', 'Outros Med_Presente')",0.1421551272408604,0.06317080937739204,0.04466850768379667
