,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
38,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37)",[0.71638486 0.93276973 0.84158615],0.8302469135802469,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Anti-hipertensores', 'Ansioliticos', 'Analgesicos', 'Anticoagulantes', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.1996084511350653,0.08870188266515996,0.06272170273654809
37,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37)",[0.72926731 0.94605475 0.84299517],0.8394390767579173,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Anti-hipertensores', 'Analgesicos', 'Anticoagulantes', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.19924149683714365,0.08853881573641706,0.06260639700544672
36,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 32, 33, 34, 35, 36, 37)",[0.74134461 0.94605475 0.85668277],0.8480273752012882,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Analgesicos', 'Anticoagulantes', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.18856943473661875,0.08379637124144165,0.059252982343648786
35,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 32, 33, 35, 36, 37)",[0.75382448 0.94625604 0.86111111],0.8537305421363391,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Analgesicos', 'Anticoagulantes', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.17717521203674205,0.07873301345654866,0.05567264771837726
34,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 32, 33, 36, 37)",[0.75925926 0.95068438 0.86111111],0.8570182501341922,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Analgesicos', 'Anticoagulantes', 'Outros Med_Presente', 'Alcoolico')",0.1759814907959659,0.07820254833429496,0.05529755223324871
33,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 32, 33, 36, 37)",[0.76751208 0.95048309 0.86151369],0.8598362855609233,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Analgesicos', 'Anticoagulantes', 'Outros Med_Presente', 'Alcoolico')",0.16811540113095144,0.07470702017137355,0.05282584056541843
32,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 32, 33, 36, 37)",[0.78904992 0.94806763 0.85004026],0.8623859366612989,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Antidislipidemicos', 'Antipsicoticos', 'Analgesicos', 'Anticoagulantes', 'Outros Med_Presente', 'Alcoolico')",0.147403388639548,0.06550302860025188,0.04631763571149447
31,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 32, 33, 36, 37)",[0.78240741 0.94223027 0.86634461],0.8636607622114868,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Antidislipidemicos', 'Analgesicos', 'Anticoagulantes', 'Outros Med_Presente', 'Alcoolico')",0.14689026039070022,0.06527500497969546,0.04615639866312832
30,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 32, 33, 36)",[0.78683575 0.94263285 0.86513688],0.8648684916800858,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Antidislipidemicos', 'Analgesicos', 'Anticoagulantes', 'Outros Med_Presente')",0.14313036163106313,0.06360418344526785,0.04497494942598204
29,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 32, 33, 36)",[0.78784219 0.94283414 0.86634461],0.8656736446591519,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Antidislipidemicos', 'Analgesicos', 'Anticoagulantes', 'Outros Med_Presente')",0.1423940386075458,0.06327697666587404,0.04474357929342247
28,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 32, 33, 36)",[0.78804348 0.94444444 0.86553945],0.8660091250670959,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'pCO2', 'pO2', 'HCO3', 'Antidislipidemicos', 'Analgesicos', 'Anticoagulantes', 'Outros Med_Presente')",0.14368643450611293,0.06385129077281568,0.04514968069297199
27,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 32, 33, 36)",[0.78723833 0.94645733 0.86634461],0.8666800858829844,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'pCO2', 'pO2', 'HCO3', 'Antidislipidemicos', 'Analgesicos', 'Anticoagulantes', 'Outros Med_Presente')",0.14627437473053617,0.06500131808291143,0.04596287280249042
26,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 20, 21, 23, 24, 25, 27, 32, 33, 36)",[0.78723833 0.94645733 0.86674718],0.8668142780461622,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Glicose', 'Sodio', 'Ureia', 'PCR', 'pH', 'pCO2', 'pO2', 'HCO3', 'Antidislipidemicos', 'Analgesicos', 'Anticoagulantes', 'Outros Med_Presente')",0.1462734396029289,0.06500090253147146,0.0459625789632493
25,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 20, 21, 23, 24, 25, 27, 32, 33, 36)",[0.78401771 0.94565217 0.87097424],0.8668813741277509,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Glicose', 'Sodio', 'PCR', 'pH', 'pCO2', 'pO2', 'HCO3', 'Antidislipidemicos', 'Analgesicos', 'Anticoagulantes', 'Outros Med_Presente')",0.1486352151278009,0.06605042690930898,0.0467047047678388
24,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 20, 21, 23, 24, 25, 27, 32, 36)",[0.78743961 0.94645733 0.86996779],0.8679549114331723,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Glicose', 'Sodio', 'PCR', 'pH', 'pCO2', 'pO2', 'HCO3', 'Antidislipidemicos', 'Analgesicos', 'Outros Med_Presente')",0.14612358609179868,0.0649343107189222,0.045915491441024206
