,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(13,)",[0.7525161  0.80042271 0.61795491],0.7236312399355879,"('Idade',)",0.17381882964770454,0.07724150628258455,0.05461799288147885
2,"(13, 24)",[0.78522544 0.79227053 0.68679549],0.7547638217928073,"('Idade', 'pO2')",0.10834627107009438,0.04814685034134231,0.03404496436913699
3,"(12, 13, 24)",[0.82890499 0.80636071 0.68478261],0.7733494363929146,"('Local_SU', 'Idade', 'pO2')",0.14244334125269756,0.06329888574547696,0.04475907135217925
4,"(12, 13, 24, 26)",[0.81260064 0.83756039 0.73389694],0.7946859903381642,"('Local_SU', 'Idade', 'pO2', 'Genero')",0.09940970371507428,0.044175623950642465,0.03123688325864615
5,"(6, 12, 13, 24, 26)",[0.81622383 0.85326087 0.75402576],0.807836822329576,"('GrupoDiagn_Geniturinario', 'Local_SU', 'Idade', 'pO2', 'Genero')",0.09213824117476242,0.040944335829387446,0.02895201751613919
6,"(5, 6, 12, 13, 24, 26)",[0.81179549 0.87238325 0.77153784],0.8185721953837897,"('GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'Local_SU', 'Idade', 'pO2', 'Genero')",0.09327141519072998,0.04144789501253821,0.029308087629273852
7,"(5, 6, 8, 12, 13, 24, 26)",[0.80434783 0.88546699 0.78623188],0.8253488996242618,"('GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Local_SU', 'Idade', 'pO2', 'Genero')",0.09709826244789697,0.04314846707976509,0.03051057366990641
8,"(1, 5, 6, 8, 12, 13, 24, 26)",[0.78582931 0.90539452 0.80293881],0.8313875469672571,"('Inter-Hospitalar', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Local_SU', 'Idade', 'pO2', 'Genero')",0.11880600106537102,0.052794938823941116,0.03733165925473769
9,"(1, 5, 6, 8, 12, 13, 24, 26, 36)",[0.80394525 0.91042673 0.79911433],0.8378287707997853,"('Inter-Hospitalar', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Local_SU', 'Idade', 'pO2', 'Genero', 'Outros Med_Presente')",0.11560477778800977,0.05137238116208471,0.03632575908541015
10,"(1, 3, 5, 6, 8, 12, 13, 24, 26, 36)",[0.80797101 0.91203704 0.80233494],0.840780998389694,"('Inter-Hospitalar', 'Lar', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Local_SU', 'Idade', 'pO2', 'Genero', 'Outros Med_Presente')",0.11350242235955878,0.05043813772963234,0.03566514921904409
11,"(1, 3, 5, 6, 8, 12, 13, 24, 26, 32, 36)",[0.80173108 0.92008857 0.80857488],0.8434648416532474,"('Inter-Hospitalar', 'Lar', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Local_SU', 'Idade', 'pO2', 'Genero', 'Analgesicos', 'Outros Med_Presente')",0.12208744844634176,0.054253146424388894,0.038362767737392084
12,"(1, 3, 4, 5, 6, 8, 12, 13, 24, 26, 32, 36)",[0.77475845 0.93035427 0.82850242],0.8445383789586689,"('Inter-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Local_SU', 'Idade', 'pO2', 'Genero', 'Analgesicos', 'Outros Med_Presente')",0.14520441945721435,0.06452585200634264,0.04562666751552447
