,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(13,)",[0.7403401  0.70249011],0.7214151055928968,"('Idade',)",0.08142767762345106,0.018924994122202887,0.018924994122202884
2,"(13, 24)",[0.76958689 0.76645092],0.7680189057616242,"('Idade', 'pO2')",0.006746511399520178,0.0015679888252704277,0.0015679888252704277
3,"(13, 20, 24)",[0.784099   0.78056455],0.7823317739883273,"('Idade', 'PCR', 'pO2')",0.007603772081763128,0.0017672288606754294,0.0017672288606754294
4,"(13, 20, 24, 36)",[0.80359687 0.78451996],0.7940584114734601,"('Idade', 'PCR', 'pO2', 'Outros Med_Presente')",0.041040657824533214,0.009538454623406134,0.009538454623406132
5,"(5, 13, 20, 24, 36)",[0.79905627 0.8024991 ],0.800777684424529,"('GrupoDiagn_Gastrointestinal', 'Idade', 'PCR', 'pO2', 'Outros Med_Presente')",0.007406657911876645,0.0017214166182613067,0.0017214166182613064
6,"(5, 6, 13, 20, 24, 36)",[0.8065349  0.80771305],0.8071239765717921,"('GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'Idade', 'PCR', 'pO2', 'Outros Med_Presente')",0.0025345906939208034,0.0005890762868917543,0.0005890762868917542
7,"(5, 6, 8, 13, 20, 24, 36)",[0.8079594  0.81993887],0.8139491363095732,"('GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Idade', 'PCR', 'pO2', 'Outros Med_Presente')",0.02577174792887165,0.005989734600171437,0.005989734600171437
8,"(2, 5, 6, 8, 13, 20, 24, 36)",[0.81463675 0.82892844],0.8217825975714326,"('Intra-Hospitalar', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Idade', 'PCR', 'pO2', 'Outros Med_Presente')",0.030746091367051583,0.007145845434680387,0.007145845434680386
9,"(2, 5, 6, 8, 13, 20, 24, 32, 36)",[0.81828704 0.83594031],0.8271136731391586,"('Intra-Hospitalar', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Idade', 'PCR', 'pO2', 'Analgesicos', 'Outros Med_Presente')",0.037977949920726624,0.008826636102121532,0.008826636102121532
10,"(2, 5, 6, 8, 13, 20, 24, 26, 32, 36)",[0.81045228 0.85068321],0.8305677433408016,"('Intra-Hospitalar', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Idade', 'PCR', 'pO2', 'Genero', 'Analgesicos', 'Outros Med_Presente')",0.08654985668904569,0.020115464138522388,0.020115464138522384
11,"(2, 5, 6, 8, 13, 18, 20, 24, 26, 32, 36)",[0.81294516 0.85580726],0.8343762101347054,"('Intra-Hospitalar', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Idade', 'Ureia', 'PCR', 'pO2', 'Genero', 'Analgesicos', 'Outros Med_Presente')",0.09221038058654817,0.021431053439548597,0.021431053439548594
12,"(2, 5, 6, 8, 13, 16, 18, 20, 24, 26, 32, 36)",[0.81347934 0.8572456 ],0.8353624699195088,"('Intra-Hospitalar', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Idade', 'Glicose', 'Ureia', 'PCR', 'pO2', 'Genero', 'Analgesicos', 'Outros Med_Presente')",0.0941554883384493,0.021883125190164,0.021883125190164
13,"(2, 3, 5, 6, 8, 13, 16, 18, 20, 24, 26, 32, 36)",[0.81428063 0.85841424],0.8363474331314136,"('Intra-Hospitalar', 'Lar', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Idade', 'Glicose', 'Ureia', 'PCR', 'pO2', 'Genero', 'Analgesicos', 'Outros Med_Presente')",0.09494580458563716,0.022066806350787005,0.022066806350787005
14,"(2, 3, 4, 5, 6, 8, 13, 16, 18, 20, 24, 26, 32, 36)",[0.79967949 0.87405609],0.8368677910546842,"('Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Idade', 'Glicose', 'Ureia', 'PCR', 'pO2', 'Genero', 'Analgesicos', 'Outros Med_Presente')",0.16000835718938666,0.03718830387519706,0.03718830387519706
15,"(2, 3, 4, 5, 6, 8, 10, 13, 16, 18, 20, 24, 26, 32, 36)",[0.8019943 0.8760338],0.8390140513926921,"('Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Outro', 'Idade', 'Glicose', 'Ureia', 'PCR', 'pO2', 'Genero', 'Analgesicos', 'Outros Med_Presente')",0.15928312580961462,0.037019749398390145,0.037019749398390145
16,"(2, 3, 4, 5, 6, 8, 10, 11, 13, 16, 18, 20, 24, 26, 32, 36)",[0.80884972 0.8760338 ],0.8424417579453988,"('Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Idade', 'Glicose', 'Ureia', 'PCR', 'pO2', 'Genero', 'Analgesicos', 'Outros Med_Presente')",0.14453489485327714,0.03359204284568362,0.03359204284568362
