,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
38,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37)",[0.55357143 0.85333333 0.7862069 ],0.7310372194854953,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Anti-hipertensores', 'Ansioliticos', 'Analgesicos', 'Anticoagulantes', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.2890429290176595,0.12844472179973063,0.09082413379220912
37,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37)",[0.61403509 0.86486486 0.78911565],0.7560051996142222,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Anti-hipertensores', 'Analgesicos', 'Anticoagulantes', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.23638186687835716,0.10504323088919619,0.07427678087949485
36,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 34, 35, 36, 37)",[0.61403509 0.8707483  0.8       ],0.7615944623463421,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Anti-hipertensores', 'Analgesicos', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.24362977388969467,0.10826405141874697,0.07655424491692504
35,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 32, 34, 35, 36, 37)",[0.62184874 0.8707483  0.8       ],0.7641990129385087,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Anti-hipertensores', 'Analgesicos', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.23565171972145632,0.10471876853767034,0.07404735135049118
34,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 34, 35, 36, 37)",[0.65       0.8707483  0.79194631],0.77089820268152,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Anti-hipertensores', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.20554694484271535,0.0913408269035847,0.06458771810271138
33,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 34, 35, 36, 37)",[0.65       0.8707483  0.80536913],0.7753724756121688,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Anti-hipertensores', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.20834130703203368,0.09258258388146516,0.06546577288235636
32,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 35, 36, 37)",[0.6557377  0.8707483  0.80536913],0.7772850439181798,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Anti-hipertensores', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.20252068901488995,0.08999602117102137,0.06363679684983731
31,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 35, 36, 37)",[0.6557377  0.8707483  0.80536913],0.7772850439181798,"('Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Anti-hipertensores', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.20252068901488995,0.08999602117102137,0.06363679684983731
30,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 23, 24, 25, 26, 27, 28, 30, 35, 36, 37)",[0.6557377  0.8707483  0.80536913],0.7772850439181798,"('Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'PCR', 'pH', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Anti-hipertensores', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.20252068901488995,0.08999602117102137,0.06363679684983731
29,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 23, 24, 25, 26, 27, 28, 30, 35, 36, 37)",[0.6557377  0.8707483  0.80536913],0.7772850439181798,"('Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Ureia', 'PCR', 'pH', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Anti-hipertensores', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.20252068901488995,0.08999602117102137,0.06363679684983731
