,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
38,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37)",[0.84615385 0.85393258 0.83516484 0.91566265 0.85365854],0.860914490555224,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Anti-hipertensores', 'Ansioliticos', 'Analgesicos', 'Anticoagulantes', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.03626105366388403,0.028212331657674117,0.014106165828837055
37,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37)",[0.875      0.88372093 0.8988764  0.88095238 0.90243902],0.8881977480139132,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Anti-hipertensores', 'Ansioliticos', 'Analgesicos', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.013645473717632344,0.010616642133908791,0.0053083210669543955
36,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37)",[0.8974359  0.91954023 0.85393258 0.89655172 0.84337349],0.8821667859408906,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Ureia', 'Creatinina', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Anti-hipertensores', 'Ansioliticos', 'Analgesicos', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.03697948010906263,0.028771291839330655,0.014385645919665327
35,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37)",[0.88607595 0.87640449 0.88888889 0.93023256 0.81927711],0.8801757998422539,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Creatinina', 'PCR', 'pH', 'Ca_ionizado', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Anti-hipertensores', 'Ansioliticos', 'Analgesicos', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.04576531709563861,0.03560697149864564,0.017803485749322823
34,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37)",[0.85714286 0.87356322 0.86956522 0.8988764  0.89156627],0.8781427924959179,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Creatinina', 'PCR', 'pH', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Anti-hipertensores', 'Ansioliticos', 'Analgesicos', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.019455219503739834,0.015136821731659691,0.007568410865829845
33,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37)",[0.85714286 0.92134831 0.85714286 0.93023256 0.84337349],0.8818480162015788,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Creatinina', 'pH', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Anti-hipertensores', 'Ansioliticos', 'Analgesicos', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.04670513087712717,0.0363381785492068,0.0181690892746034
32,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37)",[0.9047619  0.87356322 0.87912088 0.94117647 0.84705882],0.8891362592782471,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Sodio', 'Creatinina', 'pH', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Anti-hipertensores', 'Ansioliticos', 'Analgesicos', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.04091055929660117,0.03182980499891594,0.01591490249945797
31,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 19, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37)",[0.85365854 0.87640449 0.89130435 0.91764706 0.85365854],0.8785345948404741,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Glicose', 'Creatinina', 'pH', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Anti-hipertensores', 'Ansioliticos', 'Analgesicos', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.03114026914355954,0.02422818733098099,0.012114093665490495
30,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 16, 19, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37)",[0.88888889 0.87640449 0.90322581 0.92857143 0.82352941],0.8841240060117317,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Neurologico', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'pH', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Anti-hipertensores', 'Ansioliticos', 'Analgesicos', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.04487286162685797,0.0349126108242888,0.0174563054121444
29,"(0, 1, 2, 3, 4, 5, 6, 8, 11, 12, 13, 14, 16, 19, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37)",[0.88095238 0.84444444 0.88172043 0.92857143 0.86046512],0.8792307600709701,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'pH', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Anti-hipertensores', 'Ansioliticos', 'Analgesicos', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.03638032300513952,0.0283051272571424,0.0141525636285712
28,"(0, 1, 2, 3, 4, 5, 6, 8, 12, 13, 14, 16, 19, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37)",[0.89156627 0.87912088 0.89361702 0.93975904 0.78571429],0.8779554974633159,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'Lar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'pH', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Anti-hipertensores', 'Ansioliticos', 'Analgesicos', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.0649294904607904,0.05051734944668994,0.025258674723344966
27,"(0, 1, 2, 4, 5, 6, 8, 12, 13, 14, 16, 19, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37)",[0.9        0.87912088 0.86021505 0.95238095 0.79012346],0.8763680684110792,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'pH', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Anti-hipertensores', 'Ansioliticos', 'Analgesicos', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.06811570804400599,0.05299633497271512,0.026498167486357558
26,"(0, 1, 2, 4, 5, 6, 8, 12, 13, 14, 16, 19, 21, 23, 24, 25, 26, 27, 28, 29, 31, 32, 34, 35, 36, 37)",[0.88095238 0.85393258 0.87234043 0.92857143 0.82352941],0.8718652462180186,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'pH', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Ansioliticos', 'Analgesicos', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.044361443888553204,0.034514710449346245,0.017257355224673122
25,"(0, 1, 2, 4, 5, 6, 8, 12, 13, 14, 16, 19, 21, 23, 24, 25, 26, 27, 28, 29, 32, 34, 35, 36, 37)",[0.86746988 0.87640449 0.89130435 0.89411765 0.83333333],0.8725259404236677,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'pH', 'pCO2', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Analgesicos', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.028132888279674206,0.021888342848265883,0.010944171424132941
24,"(0, 1, 2, 4, 5, 6, 8, 12, 13, 14, 16, 19, 21, 24, 25, 26, 27, 28, 29, 32, 34, 35, 36, 37)",[0.83950617 0.87640449 0.88172043 0.91764706 0.86419753],0.8758951374033564,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'GrupoDiagn_Cardiovascular', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'pH', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Analgesicos', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.032710121885803654,0.025449586097504213,0.012724793048752105
23,"(0, 1, 2, 5, 6, 8, 12, 13, 14, 16, 19, 21, 24, 25, 26, 27, 28, 29, 32, 34, 35, 36, 37)",[0.88888889 0.88636364 0.86956522 0.91764706 0.825     ],0.8774929602934718,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'pH', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Analgesicos', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.03915084620869899,0.03046068843329079,0.015230344216645394
22,"(0, 1, 2, 5, 6, 12, 13, 14, 16, 19, 21, 24, 25, 26, 27, 28, 29, 32, 34, 35, 36, 37)",[0.92682927 0.83516484 0.89361702 0.90697674 0.82352941],0.8772234561369732,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'pH', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Analgesicos', 'Digitalicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.05226164746737005,0.040661337229546964,0.02033066861477348
21,"(0, 1, 2, 5, 6, 12, 13, 14, 16, 19, 21, 24, 25, 26, 27, 28, 29, 32, 35, 36, 37)",[0.87804878 0.88636364 0.88172043 0.90697674 0.82926829],0.8764755767655883,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'pH', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Analgesicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.032952643716720784,0.025638276321221433,0.012819138160610715
20,"(0, 1, 2, 6, 12, 13, 14, 16, 19, 21, 24, 25, 26, 27, 28, 29, 32, 35, 36, 37)",[0.92857143 0.87640449 0.86956522 0.87356322 0.81927711],0.8734762934338589,"('Casa', 'Inter-Hospitalar', 'Intra-Hospitalar', 'GrupoDiagn_Geniturinario', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'pH', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Analgesicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.044512294853291674,0.034632077624815856,0.017316038812407925
19,"(0, 1, 6, 12, 13, 14, 16, 19, 21, 24, 25, 26, 27, 28, 29, 32, 35, 36, 37)",[0.89156627 0.87640449 0.87234043 0.89411765 0.81927711],0.8707411880933472,"('Casa', 'Inter-Hospitalar', 'GrupoDiagn_Geniturinario', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'pH', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Analgesicos', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.034789977451556445,0.02706778438718932,0.013533892193594658
18,"(0, 1, 6, 12, 13, 14, 16, 19, 21, 24, 25, 26, 27, 28, 29, 32, 35, 36)",[0.90697674 0.85393258 0.90322581 0.88095238 0.81927711],0.8728729248586877,"('Casa', 'Inter-Hospitalar', 'GrupoDiagn_Geniturinario', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'pH', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Antidepressores', 'Analgesicos', 'Corticosteroides', 'Outros Med_Presente')",0.04216417794851332,0.032805162899649465,0.016402581449824732
17,"(0, 1, 6, 12, 13, 14, 16, 19, 21, 24, 25, 26, 27, 28, 32, 35, 36)",[0.92857143 0.84444444 0.86315789 0.86746988 0.82926829],0.8665823879907428,"('Casa', 'Inter-Hospitalar', 'GrupoDiagn_Geniturinario', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'pH', 'pO2', 'HCO3', 'Genero', 'Antidislipidemicos', 'Antipsicoticos', 'Analgesicos', 'Corticosteroides', 'Outros Med_Presente')",0.04353926049773809,0.033875023839020024,0.016937511919510012
