,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(14,)",[0.71122685 0.82290543],0.767066140776699,"('Interna_Dias',)",0.2402570689287981,0.055839288924847186,0.05583928892484718
2,"(12, 14)",[0.74140848 0.83445703],0.7879327528144275,"('Local_SU', 'Interna_Dias')",0.20017780757437292,0.046524277030951744,0.046524277030951744
3,"(12, 13, 14)",[0.82692308 0.84308702],0.8350050479904849,"('Local_SU', 'Idade', 'Interna_Dias')",0.034773914876246925,0.00808197106740799,0.00808197106740799
4,"(12, 13, 14, 22)",[0.84530805 0.85863898],0.8519735136088291,"('Local_SU', 'Idade', 'Interna_Dias', 'Ca_ionizado')",0.028679181934701144,0.006665465175780649,0.006665465175780649
5,"(12, 13, 14, 19, 22)",[0.8741542  0.87796656],0.8760603805355018,"('Local_SU', 'Idade', 'Interna_Dias', 'Creatinina', 'Ca_ionizado')",0.00820162307816535,0.0019061782562996843,0.0019061782562996843
6,"(12, 13, 14, 19, 22, 24)",[0.89351852 0.89936174],0.8964401294498382,"('Local_SU', 'Idade', 'Interna_Dias', 'Creatinina', 'Ca_ionizado', 'pO2')",0.01257067724938088,0.002921610931319596,0.0029216109313195955
7,"(12, 13, 14, 19, 20, 22, 24)",[0.89814815 0.91725099],0.9076995685005393,"('Local_SU', 'Idade', 'Interna_Dias', 'Creatinina', 'PCR', 'Ca_ionizado', 'pO2')",0.04109644485374636,0.00955142035239126,0.00955142035239126
8,"(2, 12, 13, 14, 19, 20, 22, 24)",[0.90829772 0.92718447],0.917741093408569,"('Intra-Hospitalar', 'Local_SU', 'Idade', 'Interna_Dias', 'Creatinina', 'PCR', 'Ca_ionizado', 'pO2')",0.04063155294363589,0.009443372610848322,0.009443372610848322
9,"(2, 12, 13, 14, 16, 19, 20, 22, 24)",[0.91105769 0.92282452],0.9169411079301856,"('Intra-Hospitalar', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'PCR', 'Ca_ionizado', 'pO2')",0.025314294289323358,0.005883415622493282,0.005883415622493281
10,"(2, 6, 12, 13, 14, 16, 19, 20, 22, 24)",[0.91266026 0.9233639 ],0.9180120771443587,"('Intra-Hospitalar', 'GrupoDiagn_Geniturinario', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'PCR', 'Ca_ionizado', 'pO2')",0.023027026091580725,0.005351820734102231,0.005351820734102231
11,"(6, 12, 13, 14, 16, 19, 20, 22, 24, 25, 35)",[0.91884793 0.94093851],0.9298932228998976,"('GrupoDiagn_Geniturinario', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'PCR', 'Ca_ionizado', 'pO2', 'HCO3', 'Corticosteroides')",0.047524040402930505,0.011045288426963173,0.011045288426963173
12,"(6, 7, 12, 13, 14, 16, 19, 20, 22, 24, 25, 35)",[0.91412927 0.95109673],0.9326130006500152,"('GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'PCR', 'Ca_ionizado', 'pO2', 'HCO3', 'Corticosteroides')",0.07952905906256043,0.018483727145741646,0.018483727145741646
13,"(6, 11, 12, 13, 14, 16, 19, 20, 22, 24, 25, 35, 36)",[0.93055556 0.94412981],0.9373426824883135,"('GrupoDiagn_Geniturinario', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'PCR', 'Ca_ionizado', 'pO2', 'HCO3', 'Corticosteroides', 'Outros Med_Presente')",0.029202650225485842,0.00678712693275807,0.006787126932758069
14,"(5, 6, 11, 12, 13, 14, 16, 19, 20, 22, 24, 25, 35, 36)",[0.92490207 0.94979324],0.9373476526844245,"('GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'PCR', 'Ca_ionizado', 'pO2', 'HCO3', 'Corticosteroides', 'Outros Med_Presente')",0.05354903955795937,0.012445587157358995,0.012445587157358993
15,"(0, 5, 6, 11, 12, 13, 14, 19, 20, 22, 24, 25, 33, 35, 36)",[0.9284188  0.94763574],0.9380272729787293,"('Casa', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'Creatinina', 'PCR', 'Ca_ionizado', 'pO2', 'HCO3', 'Anticoagulantes', 'Corticosteroides', 'Outros Med_Presente')",0.04134190778228476,0.009608469559925947,0.009608469559925947
16,"(0, 5, 6, 11, 12, 13, 14, 19, 20, 22, 24, 25, 33, 35, 36, 37)",[0.9255698  0.95105178],0.9383107902525378,"('Casa', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'Creatinina', 'PCR', 'Ca_ionizado', 'pO2', 'HCO3', 'Anticoagulantes', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.054820054040200995,0.012740989682737291,0.012740989682737291
17,"(0, 5, 6, 11, 12, 13, 14, 19, 20, 22, 24, 25, 30, 33, 35, 36, 37)",[0.93122329 0.95073714],0.9409802177550963,"('Casa', 'GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'Creatinina', 'PCR', 'Ca_ionizado', 'pO2', 'HCO3', 'Anti-hipertensores', 'Anticoagulantes', 'Corticosteroides', 'Outros Med_Presente', 'Alcoolico')",0.041980669266776,0.009756927156805817,0.009756927156805817
