,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(14,)",[0.52830189 0.82014388 0.81355932],0.7206683645728126,"('Interna_Dias',)",0.3061577603034307,0.1360502001645583,0.09620201911814631
2,"(14, 36)",[0.61946903 0.8115942  0.8       ],0.7436877431490744,"('Interna_Dias', 'Outros Med_Presente')",0.1979464849681339,0.08796333914611396,0.06219947360602928
3,"(8, 14, 36)",[0.625      0.87878788 0.80991736],0.7712350780532597,"('GrupoDiagn_Musculoesqueletico', 'Interna_Dias', 'Outros Med_Presente')",0.24114118130630227,0.10715817215322383,0.07577227018910003
4,"(8, 14, 28, 36)",[0.61261261 0.89552239 0.80314961],0.7704282023238421,"('GrupoDiagn_Musculoesqueletico', 'Interna_Dias', 'Antipsicoticos', 'Outros Med_Presente')",0.26507124258704856,0.11779219829702951,0.08329166218670006
5,"(8, 14, 28, 32, 36)",[0.61818182 0.89552239 0.80314961],0.772284604180244,"('GrupoDiagn_Musculoesqueletico', 'Interna_Dias', 'Antipsicoticos', 'Analgesicos', 'Outros Med_Presente')",0.25948118570655215,0.11530809220489893,0.08153513392376772
6,"(8, 14, 19, 28, 32, 36)",[0.72131148 0.82517483 0.79411765],0.7802013158811617,"('GrupoDiagn_Musculoesqueletico', 'Interna_Dias', 'Creatinina', 'Antipsicoticos', 'Analgesicos', 'Outros Med_Presente')",0.09795435076219532,0.0435288950865659,0.030779576893268535
7,"(12, 13, 14, 16, 19, 28, 32)",[0.82706767 0.88435374 0.76190476],0.8244420575247643,"('Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'Antipsicoticos', 'Analgesicos')",0.11257059099023918,0.050024051069898816,0.035372345733947624
8,"(12, 13, 14, 16, 19, 28, 32, 37)",[0.81818182 0.87671233 0.76923077],0.8213749720599036,"('Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'Antipsicoticos', 'Analgesicos', 'Alcoolico')",0.09887321001973567,0.04393721720712075,0.031068304233621346
9,"(12, 13, 14, 16, 19, 25, 28, 32, 37)",[0.875 0.84  0.8  ],0.8383333333333333,"('Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'HCO3', 'Antipsicoticos', 'Analgesicos', 'Alcoolico')",0.068953003281159,0.03064129385141704,0.021666666666666657
10,"(8, 12, 13, 14, 16, 19, 25, 32, 36, 37)",[0.8951049 0.88      0.8137931],0.8629659995177237,"('GrupoDiagn_Musculoesqueletico', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'HCO3', 'Analgesicos', 'Outros Med_Presente', 'Alcoolico')",0.079466046306992,0.03531307354625683,0.02497011376909749
11,"(8, 12, 13, 14, 16, 19, 25, 30, 32, 36, 37)",[0.87943262 0.87837838 0.79710145],0.8516374839224051,"('GrupoDiagn_Musculoesqueletico', 'Local_SU', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'HCO3', 'Anti-hipertensores', 'Analgesicos', 'Outros Med_Presente', 'Alcoolico')",0.08678440561984191,0.03856520162689928,0.02726971558820696
