,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(17,)",[0.61696231 0.75996678 0.83111849 0.92938174 0.90697674],0.8088812114336787,"('Sodio',)",0.14525845373662152,0.1130160119141866,0.056508005957093294
2,"(17, 36)",[0.6424612  0.82281285 0.84856035 0.91832104 0.8902439 ],0.8244798687793583,"('Sodio', 'Outros Med_Presente')",0.12440729065203106,0.09679309865183361,0.048396549325916804
3,"(14, 17, 36)",[0.76967849 0.8986711  0.803433   0.85933069 0.87294385],0.8408114243480096,"('Interna_Dias', 'Sodio', 'Outros Med_Presente')",0.06077737748129842,0.04728686448772049,0.023643432243860243
4,"(6, 14, 17, 36)",[0.81374723 0.90586932 0.7893134  0.88740783 0.8749291 ],0.8542533756657409,"('GrupoDiagn_Geniturinario', 'Interna_Dias', 'Sodio', 'Outros Med_Presente')",0.057620203367143276,0.04483047576732643,0.022415237883663217
5,"(6, 12, 14, 17, 36)",[0.87333703 0.91500554 0.8200443  0.86954056 0.87152581],0.8698906453727782,"('GrupoDiagn_Geniturinario', 'Local_SU', 'Interna_Dias', 'Sodio', 'Outros Med_Presente')",0.038707046775648,0.03011539739705174,0.015057698698525869
6,"(6, 12, 13, 14, 17, 36)",[0.87749446 0.94241417 0.87486157 0.91576858 0.83465683],0.8890391231003824,"('GrupoDiagn_Geniturinario', 'Local_SU', 'Idade', 'Interna_Dias', 'Sodio', 'Outros Med_Presente')",0.04759075047053596,0.0370272206802872,0.018513610340143597
7,"(6, 12, 13, 14, 17, 24, 36)",[0.93292683 0.92857143 0.86738649 0.90952921 0.88400454],0.9044836993220431,"('GrupoDiagn_Geniturinario', 'Local_SU', 'Idade', 'Interna_Dias', 'Sodio', 'pO2', 'Outros Med_Presente')",0.0325677936677051,0.02533884990846617,0.012669424954233085
8,"(6, 12, 13, 14, 15, 17, 24, 36)",[0.92405765 0.93355482 0.89368771 0.94951787 0.89988656],0.9201409197722301,"('GrupoDiagn_Geniturinario', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Sodio', 'pO2', 'Outros Med_Presente')",0.026765485831848037,0.020824457288701723,0.010412228644350862
9,"(6, 12, 13, 14, 15, 17, 19, 24, 36)",[0.93015521 0.94850498 0.89728682 0.92938174 0.92909813],0.9268853759211104,"('GrupoDiagn_Geniturinario', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Sodio', 'Creatinina', 'pO2', 'Outros Med_Presente')",0.021238838324233487,0.016524537769397316,0.008262268884698656
10,"(6, 12, 13, 14, 15, 17, 19, 24, 31, 36)",[0.9368071  0.94269103 0.90697674 0.94157686 0.93391946],0.9323942365065451,"('GrupoDiagn_Geniturinario', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Sodio', 'Creatinina', 'pO2', 'Ansioliticos', 'Outros Med_Presente')",0.016838714163196065,0.013101091685430543,0.0065505458427152705
11,"(6, 10, 12, 13, 14, 15, 17, 19, 24, 31, 36)",[0.93736142 0.96705426 0.9072536  0.93987521 0.92512762],0.9353344235647129,"('GrupoDiagn_Geniturinario', 'GrupoDiagn_Outro', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Sodio', 'Creatinina', 'pO2', 'Ansioliticos', 'Outros Med_Presente')",0.025209972725225273,0.019614215245856468,0.009807107622928234
12,"(6, 10, 12, 13, 14, 15, 17, 19, 24, 30, 31, 36)",[0.9462306  0.95459579 0.91223699 0.93391946 0.92994895],0.9353863568838043,"('GrupoDiagn_Geniturinario', 'GrupoDiagn_Outro', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Sodio', 'Creatinina', 'pO2', 'Anti-hipertensores', 'Ansioliticos', 'Outros Med_Presente')",0.01866294146780123,0.014520402503410594,0.007260201251705296
13,"(6, 7, 10, 12, 13, 14, 15, 17, 19, 24, 30, 31, 36)",[0.94650776 0.96899225 0.91500554 0.92597845 0.93874078],0.9390449548560724,"('GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Outro', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Sodio', 'Creatinina', 'pO2', 'Anti-hipertensores', 'Ansioliticos', 'Outros Med_Presente')",0.02370833025891777,0.0184458863913392,0.009222943195669598
14,"(6, 7, 10, 12, 13, 14, 15, 17, 19, 24, 25, 30, 31, 36)",[0.97200665 0.95155039 0.88538206 0.96086217 0.93335224],0.9406307013085232,"('GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Outro', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Sodio', 'Creatinina', 'pO2', 'HCO3', 'Anti-hipertensores', 'Ansioliticos', 'Outros Med_Presente')",0.03906265495696122,0.03039207264329212,0.01519603632164606
15,"(6, 7, 8, 10, 12, 13, 14, 15, 17, 19, 24, 25, 30, 31, 36)",[0.9695122  0.94352159 0.89811739 0.95604084 0.93959161],0.9413567241984712,"('GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Outro', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Sodio', 'Creatinina', 'pO2', 'HCO3', 'Anti-hipertensores', 'Ansioliticos', 'Outros Med_Presente')",0.030878008456672136,0.024024139606725083,0.012012069803362542
16,"(6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 19, 24, 25, 30, 31, 36)",[0.96507761 0.93521595 0.92109635 0.95604084 0.93363585],0.9422133170289723,"('GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Sodio', 'Creatinina', 'pO2', 'HCO3', 'Anti-hipertensores', 'Ansioliticos', 'Outros Med_Presente')",0.020584235669004816,0.016015234664625722,0.008007617332312861
17,"(6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 19, 24, 25, 30, 31, 33, 36)",[0.97228381 0.95321152 0.90919158 0.95121951 0.93023256],0.9432277969714157,"('GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Sodio', 'Creatinina', 'pO2', 'HCO3', 'Anti-hipertensores', 'Ansioliticos', 'Anticoagulantes', 'Outros Med_Presente')",0.027776170693243455,0.021610804447153922,0.010805402223576961
18,"(6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 19, 20, 24, 25, 30, 31, 33, 36)",[0.95842572 0.93161683 0.94186047 0.96313103 0.93732275],0.9464713580992651,"('GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Sodio', 'Creatinina', 'PCR', 'pO2', 'HCO3', 'Anti-hipertensores', 'Ansioliticos', 'Anticoagulantes', 'Outros Med_Presente')",0.01570019249720853,0.01221528314996926,0.00610764157498463
19,"(6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 19, 20, 22, 24, 25, 30, 31, 33, 36)",[0.96701774 0.94241417 0.93078627 0.95745888 0.93391946],0.9463193027430122,"('GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Sodio', 'Creatinina', 'PCR', 'Ca_ionizado', 'pO2', 'HCO3', 'Anti-hipertensores', 'Ansioliticos', 'Anticoagulantes', 'Outros Med_Presente')",0.017835436609210106,0.013876575610366888,0.006938287805183444
20,"(4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 19, 20, 22, 24, 25, 30, 31, 33, 36)",[0.94955654 0.94933555 0.94186047 0.97249007 0.95490641],0.9536298075152301,"('GrupoDiagn_Cardiovascular', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Hemato-Oncologico', 'GrupoDiagn_Musculoesqueletico', 'GrupoDiagn_Outro', 'GrupoDiagn_Respiratorio', 'Local_SU', 'Idade', 'Interna_Dias', 'SIRS', 'Sodio', 'Creatinina', 'PCR', 'Ca_ionizado', 'pO2', 'HCO3', 'Anti-hipertensores', 'Ansioliticos', 'Anticoagulantes', 'Outros Med_Presente')",0.013243972642345668,0.010304260657024614,0.005152130328512307
