,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(14,)",[0.57142857 0.72463768 0.79069767 0.88       0.7826087 ],0.7498745245317542,"('Interna_Dias',)",0.1312640769011787,0.1021279113012356,0.0510639556506178
2,"(14, 36)",[0.61538462 0.77777778 0.85       0.86486486 0.79452055],0.7805095611944928,"('Interna_Dias', 'Outros Med_Presente')",0.11411582135111503,0.08878598590068379,0.04439299295034189
3,"(8, 14, 36)",[0.61538462 0.81081081 0.85       0.89473684 0.79452055],0.7930905632491789,"('GrupoDiagn_Musculoesqueletico', 'Interna_Dias', 'Outros Med_Presente')",0.12256326350750099,0.09535838288572634,0.04767919144286317
4,"(8, 14, 28, 36)",[0.65671642 0.79452055 0.87804878 0.90909091 0.76923077],0.8015214849330274,"('GrupoDiagn_Musculoesqueletico', 'Interna_Dias', 'Antipsicoticos', 'Outros Med_Presente')",0.1142215395559002,0.08886823825560153,0.04443411912780076
5,"(6, 8, 14, 28, 36)",[0.66666667 0.78481013 0.88888889 0.90909091 0.76923077],0.8037374720919026,"('GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Interna_Dias', 'Antipsicoticos', 'Outros Med_Presente')",0.11305808343987286,0.08796302987090406,0.04398151493545203
6,"(6, 8, 14, 19, 28, 36)",[0.75675676 0.76190476 0.77777778 0.85714286 0.80952381],0.7926211926211926,"('GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Interna_Dias', 'Creatinina', 'Antipsicoticos', 'Outros Med_Presente')",0.04774238156010578,0.037145194819379,0.018572597409689497
7,"(6, 8, 13, 14, 19, 28, 36)",[0.77922078 0.85714286 0.86046512 0.84705882 0.73809524],0.8163965628534712,"('GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Idade', 'Interna_Dias', 'Creatinina', 'Antipsicoticos', 'Outros Med_Presente')",0.06311186358218761,0.049103173984377885,0.024551586992188946
8,"(6, 8, 13, 14, 16, 19, 28, 36)",[0.83544304 0.85057471 0.86666667 0.85365854 0.7826087 ],0.8377903299045137,"('GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'Antipsicoticos', 'Outros Med_Presente')",0.037690400833832884,0.029324412315515514,0.014662206157757759
9,"(5, 6, 8, 13, 14, 16, 19, 28, 36)",[0.81081081 0.87356322 0.88888889 0.87804878 0.81318681],0.8528997023530245,"('GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'Antipsicoticos', 'Outros Med_Presente')",0.04340885053829419,0.03377356046011774,0.016886780230058865
10,"(5, 6, 8, 13, 14, 16, 19, 28, 29, 36)",[0.84210526 0.82352941 0.91111111 0.87804878 0.78723404],0.8484057218149417,"('GrupoDiagn_Gastrointestinal', 'GrupoDiagn_Geniturinario', 'GrupoDiagn_Musculoesqueletico', 'Idade', 'Interna_Dias', 'Glicose', 'Creatinina', 'Antipsicoticos', 'Antidepressores', 'Outros Med_Presente')",0.05516632035062822,0.04292127141400646,0.02146063570700323
